solver,map,agents,finishing_time_s,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std
LNS,room-64-64-8,10,600.0,31,0.055563999999999995,0.009129679183848688,574.9677419354839,847.8074372004062,2696.6451612903224,4728.618495299604
LNS,room-64-64-8,20,600.0,1,0.237788,0.0,15301.0,0.0,75245.0,0.0
LNS,room-64-64-16,10,600.0,92,0.06228095652173913,0.004722617103096277,272.5326086956522,300.35502366536303,964.4782608695652,1426.8960344067366
LNS,room-64-64-16,20,600.0,9,0.13654333333333332,0.01151769611414443,1957.5555555555557,692.8134446846442,8140.222222222223,4019.29100375172
LNS,room-64-64-16,50,600.0,7,2.6131748571428575,1.7581962537298135,103494.42857142857,68120.03744201877,1704640.5714285714,1358352.6184841755
LNS,room-32-32-4,10,278.719587,100,2.7871958699999997,12.348531765309403,17088.65,65110.33432326622,1028278.01,4182049.931368499
LNS,room-32-32-4,20,600.0,41,9.089425243902438,33.825815921249806,44909.0243902439,133406.38750358057,2442073.4146341463,8424490.428068172
LNS,room-32-32-4,50,600.0,0,,,,,,
LNS,empty-48-48,10,3.6094739999999996,100,0.03609473999999999,0.005980840528922335,24.15,38.6963499570696,58.94,101.0196832305467
LNS,empty-48-48,20,6.593623,100,0.06593623,0.004319812518744303,96.42,67.21639383364744,233.42,181.769369256759
LNS,empty-48-48,50,17.494225,100,0.17494225,0.008794455329780237,692.2,254.53007680822319,1810.52,936.6105431821703
LNS,empty-48-48,100,50.406858,100,0.50406858,0.08826633217237251,4218.03,3723.8295381367825,23379.9,65839.49530403463
LNS,empty-32-32,10,2.2240549999999994,100,0.022240549999999994,0.005026778432306321,29.09,37.371137258585,69.0,99.15805564854527
LNS,empty-32-32,20,3.40585,100,0.0340585,0.0048188264847367135,140.19,110.07222129129583,348.2,331.685754894599
LNS,empty-32-32,50,9.079302000000002,100,0.09079302000000002,0.010854775121558254,1329.51,862.0098664748565,4518.77,5761.840136371366
LNS,empty-32-32,100,600.0,1,0.284331,0.0,9717.0,0.0,43686.0,0.0
LNS,empty-16-16,10,0.9445460000000002,100,0.009445460000000003,0.0021234212884870493,86.18,106.72360376224184,230.22,390.030629053668
LNS,empty-16-16,20,3.365983999999999,100,0.03365983999999999,0.14040178362996106,909.94,4619.38781619383,10202.64,85935.17252225889
LNS,empty-16-16,50,600.0,19,29.16031773684211,31.639986376074585,162908.52631578947,132967.6005829075,4428220.421052632,4126483.2996577285
LNS,empty-16-16,100,600.0,1,526.626906,0.0,159551.0,0.0,8239534.0,0.0
LNS,Berlin_1_256,10,147.746279,100,1.47746279,0.076753894748253,14.79,33.059732303816375,35.79,83.0642275591605
LNS,Berlin_1_256,20,313.29072300000007,100,3.1329072300000007,0.13325099341602337,70.28,171.05730501793835,330.99,1957.418240923487
LNS,Berlin_1_256,50,600.0,69,8.55623347826087,0.23901908629966126,439.42028985507244,322.1984898082214,1383.855072463768,2548.1047078533516
LNS,Berlin_1_256,100,600.0,31,18.67357961290322,0.531666681251647,3074.1935483870966,3858.498115131651,25087.451612903227,66880.12851644866
LNS,Berlin_1_256,200,600.0,12,46.169328666666665,2.406362594775301,12427.166666666666,12314.286491939172,106467.58333333333,198691.7742700396
LNS,warehouse-20-40-10-2-2,10,86.74631799999999,100,0.8674631799999999,0.06545733829501166,8.94,24.35603415993663,21.71,60.560596925723914
LNS,warehouse-20-40-10-2-2,20,184.410104,100,1.84410104,0.10209750335614677,61.61,71.64480371946036,149.36,177.51008534728385
LNS,warehouse-20-40-10-2-2,50,511.69006699999994,100,5.11690067,0.2404761156197452,420.6,228.65839149263692,1028.44,610.500029811629
LNS,warehouse-20-40-10-2-2,100,600.0,51,11.48955549019608,0.5103735715029545,1708.4901960784314,397.3708384333411,4179.0392156862745,1042.155232138617
LNS,warehouse-20-40-10-2-2,200,600.0,19,30.754775631578948,1.1584311672761844,7856.684210526316,1709.0967775447505,24911.684210526317,15996.450932209706
LNS+2,room-64-64-8,10,600.0,31,0.27937803225806446,1.2385621939922133,5934.322580645161,30254.55908314145,155372.7741935484,841789.327029831
LNS+2,room-64-64-8,20,600.0,1,0.23115,0.0,14196.0,0.0,97485.0,0.0
LNS+2,room-64-64-16,10,600.0,92,0.06308714130434781,0.0059580161594376384,240.41304347826087,255.08477500345512,827.0217391304348,1229.105409728174
LNS+2,room-64-64-16,20,600.0,9,0.1335101111111111,0.010311792649889785,1435.7777777777778,627.3100912764627,5368.555555555556,2533.188377919157
LNS+2,room-64-64-16,50,600.0,3,98.853719,95.90104198982,463798.0,232706.157384515,24356624.0,17860129.26688412
LNS+2,room-32-32-4,10,215.881969,100,2.15881969,8.617556082939915,11201.58,39986.71650540465,748863.3,2808087.0248495773
LNS+2,room-32-32-4,20,600.0,53,10.95165058490566,46.3887098799892,41028.79245283019,132407.07146300666,2516719.0754716983,9083712.747798475
LNS+2,room-32-32-4,50,600.0,1,481.02524900000003,0.0,840600.0,0.0,50640265.0,0.0
LNS+2,empty-48-48,10,3.504455,100,0.03504455,0.004085917631022436,27.01,47.719072706832854,67.53,132.0430577501142
LNS+2,empty-48-48,20,6.533365000000001,100,0.06533365000000001,0.004926006829826772,102.72,74.32968182361606,249.16,200.9595839963847
LNS+2,empty-48-48,50,17.551115999999997,100,0.17551115999999997,0.009067559512592128,794.58,376.50989840905913,2528.28,2773.322087605405
LNS+2,empty-48-48,100,600.0,88,1.0277442272727273,2.959126112512749,9588.386363636364,18844.564761630038,205777.75,821094.3674774739
LNS+2,empty-32-32,10,2.188651,100,0.02188651,0.004559367955089828,31.42,44.32700756874978,79.53,146.7511127726124
LNS+2,empty-32-32,20,3.3019450000000004,100,0.033019450000000006,0.003929190635169029,163.73,157.50433994020608,534.31,1101.4717853399607
LNS+2,empty-32-32,50,10.027929,100,0.10027929000000001,0.057692158994840016,1851.63,2147.780210612809,13319.21,42878.01398952498
LNS+2,empty-32-32,100,600.0,0,,,,,,
LNS+2,empty-16-16,10,1.071869,100,0.01071869,0.0025318900240531776,97.28,119.94157577754262,311.62,651.8661331899366
LNS+2,empty-16-16,20,2.586305,100,0.02586305,0.023700168435424673,694.78,979.3107839700327,4908.16,16007.601332941795
LNS+2,empty-16-16,50,600.0,18,31.1741905,29.254230064180984,113299.77777777778,74100.91017701286,3831082.277777778,2955528.7031873707
LNS+2,empty-16-16,100,600.0,1,571.3466080000001,0.0,156469.0,0.0,8231286.0,0.0
LNS+2,Berlin_1_256,10,149.87494900000002,100,1.4987494900000002,0.08688933915648053,15.57,36.11710259696921,38.26,94.07822489821967
LNS+2,Berlin_1_256,20,319.49367399999994,100,3.1949367399999993,0.1479282090106968,74.61,174.67489201370643,343.9,1959.0466329314365
LNS+2,Berlin_1_256,50,600.0,67,8.81116486567164,0.2883405083543183,439.0149253731343,305.36904477791546,1385.4179104477612,2524.0375978776765
LNS+2,Berlin_1_256,100,600.0,30,19.3489819,0.5961812930057073,2871.5666666666666,3406.359979835106,24810.233333333334,67192.74340218758
LNS+2,Berlin_1_256,200,600.0,12,48.59684866666666,2.9647897518409128,17737.666666666668,29701.623736010722,172456.41666666666,418701.1848577014
LNS+2,warehouse-20-40-10-2-2,10,99.017807,100,0.99017807,0.1775357851815377,9.42,26.38870212799409,22.92,65.5956827847687
