solver,solved_instances,solve_time_mean_s,solve_time_std_s,cnf_build_mean_s,cnf_build_std_s,mdd_build_mean_s,mdd_build_std_s,sat_solver_mean_s,sat_solver_std_s,cnf_variables_mean,cnf_variables_std,cnf_clauses_mean,cnf_clauses_std,total_solve_time_s,total_cnf_build_time_s,total_mdd_build_time_s,total_sat_solver_time_s,total_zones_used,total_zones_expanded,total_waiting_attempts
,431,4.058093642691414,29.369081168144312,2.1703552575406033,12.039688381466242,2.842227378190255e-06,1.2191936731171308e-05,1.4534325823665892,13.393235672337312,16025.867749419953,68505.2438156721,687651.6102088167,3594915.5568853617,1749.0383599999996,935.4231159999999,0.001225,626.429443,2948.0,2097.0,6438.0
,299,11.871881448160535,38.47740090692645,8.196349484949833,17.52248674891144,1.2642140468227424e-06,1.2645502198535977e-06,2.752491949832776,17.069353231949613,24831.14381270903,25570.21766170447,1781750.110367893,2618273.5295511098,3549.692553,2450.708496,0.00037799999999999997,822.995093,280.0,278.0,280.0
,441,4.141630253968254,30.7128899059498,2.2916297346938777,11.888071310072338,1.4149659863945578e-06,4.913090761069597e-06,1.3464678412698414,14.138202062710322,9432.036281179138,37262.373961732315,491586.90929705213,2320468.4675256074,1826.4589419999998,1010.6087130000001,0.000624,593.792318,2631.0,2088.0,5736.0
,448,4.3608934531250005,32.70341034511102,2.4300288392857143,14.549848890048255,1.8973214285714284e-06,6.048774371447785e-06,1.4252907700892858,14.127459582397966,12438.729910714286,57399.95412043042,638374.4665178572,3616732.600529043,1953.6802670000002,1088.65292,0.00085,638.5302650000001,2593.0,2022.0,5549.0
,462,3.5856256623376614,28.35935724715809,1.7707566796536798,9.086582284988946,2.45021645021645e-06,6.783024868012479e-06,1.3608324307359312,13.421738043797157,14299.207792207791,50031.78544088454,623592.5822510823,2924969.858430858,1656.5590559999996,818.089586,0.001132,628.7045830000002,2397.0,1956.0,4161.0
