map_name,num_agents,solver,cnf_vars_start,cnf_clauses_start,cnf_vars_end,cnf_clauses_end,total_time_s,cnf_build_time_s,total_solver_time_s,solver_times_per_iter,flips_per_iter,tries_per_iter,collisions_per_iter,status,seed,params
"mapf-map/empty-16-16.map",3,"MiniSAT",39,111,978,16880,8.1e-08,0.0391391,8.12608,"0.000302402;0.000625877;0.00194504;0.00665373;0.608831;0.334338;0.718528;0.632653;1.51167;1.99774;2.31279","25;34;58;69;79;90;100;111;121;132;142","1;1;1;1;1;1;1;1;1;1;1","","SAT",42,""
"mapf-map/empty-16-16.map",3,"MiniSAT",39,111,978,16880,5.2e-08,0.0176651,4.82745,"0.000209253;0.000372222;0.000875408;0.00411365;0.581114;0.259413;0.223768;0.392539;1.00483;1.0172;1.34302","25;34;58;69;79;90;100;111;121;132;142","1;1;1;1;1;1;1;1;1;1;1","","SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",39,111,978,16880,7.2e-08,0.0324591,0.00565215,"0.000277779;0.000197858;0.000293319;0.00034433;0.000421873;0.000446979;0.000548415;0.000649217;0.000833309;0.000852217;0.000786854","3;5;19;13;29;39;51;53;99;69;305","1;1;1;1;1;1;1;1;1;1;1","","UNKNOWN",42,""
"mapf-map/empty-16-16.map",3,"probSAT",39,111,978,16880,7.3e-08,0.0243451,0.00440635,"0.000232808;0.000202437;0.000216143;0.000259596;0.000416645;0.000467202;0.000380648;0.000399533;0.00052046;0.000554373;0.000756507","3;5;19;13;29;39;51;53;99;69;305","1;1;1;1;1;1;1;1;1;1;1","","UNKNOWN",42,""
