map_name,num_agents,solver,timestep,collision_iter,cnf_vars,cnf_clauses,solver_time_s,flips,tries,collisions_added,status,seed,params
"mapf-map/empty-16-16.map",3,"probSAT",5,9,66,251,0.0003639,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,10,66,252,0.0002113,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,11,66,253,0.0004596,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,12,66,254,0.0003901,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,13,66,255,0.000387,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,14,66,256,0.0003376,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,15,66,257,0.0002041,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,16,66,258,0.0008915,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,17,66,259,0.0003966,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,18,66,260,0.000351,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,19,66,261,0.0004454,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,20,66,262,0.0004181,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,21,66,263,0.0008327,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,22,66,264,0.0002724,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,23,66,265,0.0002616,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,24,66,266,0.0001754,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,25,66,267,0.0002988,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,26,66,268,0.000195901,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,27,66,269,0.000518,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,28,66,270,0.0005273,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,29,66,271,0.0006618,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,30,66,272,0.0003612,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,31,66,273,0.0003269,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,32,66,274,0.0002968,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,33,66,275,0.0003636,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,34,66,276,0.000816601,48,1,0,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,35,66,277,0.0002965,48,1,0,"SAT",42,""
