map_name,num_agents,solver,timestep,collision_iter,cnf_vars,cnf_clauses,solver_time_s,decisions,propagations,collisions_added,status,seed,params
"mapf-map/empty-8-8.map",15,"MiniSAT",8,11,937,6579,0.310308,235,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:05:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,12,937,6580,0.101723,407,1603,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:05:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,0,937,6540,0.0678406,248,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,1,937,6555,0.0925042,241,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,2,937,6559,0.0989348,224,954,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,3,937,6561,0.142716,240,963,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,4,937,6564,0.118264,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,5,937,6565,0.127455,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,6,937,6566,0.119336,253,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,7,937,6568,0.106339,252,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,8,937,6570,0.0765823,260,1007,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,9,937,6573,0.135747,237,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,10,937,6575,0.12132,232,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,11,937,6579,0.143416,235,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,12,937,6580,0.283623,407,1603,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,0,937,6540,0.00233186,248,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,1,937,6555,0.00197016,241,978,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,2,937,6559,0.00199697,224,954,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,3,937,6561,0.00176507,240,963,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,4,937,6564,0.00170755,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,5,937,6565,0.00152313,241,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,6,937,6566,0.0017197,253,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,7,937,6568,0.00162795,252,991,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,8,937,6570,0.00156954,260,1007,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,9,937,6573,0.00287033,237,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,10,937,6575,0.00166224,232,983,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",8,11,937,6579,0.00161336,235,988,0,"SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
