map_name,num_agents,solver,timestep,cnf_vars,cnf_clauses,cnf_build_time_s,total_solver_time_s,num_collision_iterations,status,seed,params
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,0.000215877,0.0064314,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000427128,0.739403,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.000474508,0.00557286,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,8.3085e-05,0.728404,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,0.000112595,0.0143954,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000256434,0.734318,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.000453631,0.652221,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,171,0.000172473,0.978663,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,292,0.000126463,0.0142637,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,649,0.000239365,1.49361,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1105,0.000561592,0.706827,50,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,621,9.3155e-05,1.47396,500,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,742,0.000229594,1.00755,500,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,1099,0.000520257,0.866573,500,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1555,0.000846198,0.56321,500,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,121,0.000112249,0.000628806,2,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,240,0.000155441,0.000429417,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,600,0.000336143,0.000545155,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1052,0.00059376,0.000670468,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,114,0.000116273,0.000617914,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,240,0.000294225,0.000672247,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,600,0.000586123,0.000826426,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",7,174,1052,0.000749641,0.000711246,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",4,39,121,6.4206e-05,0.000460181,2,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",5,66,240,0.000109605,0.000354235,1,"SAT",42,""
"mapf-map/empty-16-16.map",3,"probSAT",6,120,600,0.000273281,0.000394067,1,"SAT",42,""
