map_name,num_agents,solver,cnf_vars_start,cnf_clauses_start,cnf_vars_end,cnf_clauses_end,total_time_s,cnf_build_time_s,total_solver_time_s,solver_times_per_iter,decisions_per_iter,propagations_per_iter,collisions_per_iter,status,seed,params
"mapf-map/empty-8-8.map",10,"MiniSAT",523,3210,523,3217,6.11e-07,0.00222526,1.71667,"0.00348087;1.71319","147;140","526;526","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T13:13:59Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",937,6540,937,6580,1.49e-07,0.0063486,3.15985,"1.58543;0.254135;0.0822669;0.17843;0.0769578;0.124648;0.132801;0.0764017;0.171942;0.110397;0.0668673;0.114105;0.185468","248;241;224;240;241;241;253;252;260;237;232;235;407","978;978;954;963;988;988;991;991;1007;983;983;988;1603","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T13:51:59Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",937,6540,937,6580,2.11e-07,0.00693698,2.05902,"0.102399;0.121611;0.186381;0.131388;0.123611;0.0603092;0.105588;0.117035;0.196825;0.130673;0.371175;0.310308;0.101723","248;241;224;240;241;241;253;252;260;237;232;235;407","978;978;954;963;988;988;991;991;1007;983;983;988;1603","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:05:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",937,6540,937,6580,2.39e-07,0.0073572,1.63408,"0.0678406;0.0925042;0.0989348;0.142716;0.118264;0.127455;0.119336;0.106339;0.0765823;0.135747;0.12132;0.143416;0.283623","248;241;224;240;241;241;253;252;260;237;232;235;407","978;978;954;963;988;988;991;991;1007;983;983;988;1603","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:13:06Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",937,6540,937,6580,2.27e-07,0.00680257,0.0239931,"0.00233186;0.00197016;0.00199697;0.00176507;0.00170755;0.00152313;0.0017197;0.00162795;0.00156954;0.00287033;0.00166224;0.00161336;0.00163517","248;241;224;240;241;241;253;252;260;237;232;235;407","978;978;954;963;988;988;991;991;1007;983;983;988;1603","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:21:14Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",937,6540,937,6580,1.54e-07,0.00697429,0.0249623,"0.00245464;0.00210107;0.00194437;0.00190281;0.00196727;0.00186927;0.00193353;0.00182982;0.00150869;0.00162893;0.00135171;0.00243058;0.00203963","248;241;224;240;241;241;253;252;260;237;232;235;407","978;978;954;963;988;988;991;991;1007;983;983;988;1603","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:26:24Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",937,6540,937,6580,9.9e-08,0.00819398,0.0836683,"0.0113804;0.0094132;0.00849469;0.00821851;0.00606547;0.00477449;0.00501482;0.00549649;0.00480066;0.00526243;0.00481698;0.00490008;0.0050301","248;241;224;240;241;241;253;252;260;237;232;235;407","978;978;954;963;988;988;991;991;1007;983;983;988;1603","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:38:41Z"
"mapf-map/empty-8-8.map",15,"MiniSAT",937,6540,937,6580,1e-07,0.00809601,0.0925292,"0.00994866;0.0105665;0.00950451;0.00964281;0.00759822;0.00580476;0.00481087;0.00496618;0.00520761;0.00579117;0.00626769;0.00711079;0.0053094","248;241;224;240;241;241;253;252;260;237;232;235;407","978;978;954;963;988;988;991;991;1007;983;983;988;1603","","SAT",42,"run_id=0;offset=0;run_start_iso=2025-08-28T14:43:31Z"
